A,n,freq
1,153,0,1534
2,301,0,3007
3,149,0,149
9,114,0,1138
23,NA,0,1138
24,NA,0,1138
10,64,0,0642
25,NA,0,0642
26,NA,0,0642
34,NA,0,0642
66,NA,0,0642
11,56,0,0555
19,120,0,1195
29,NA,0,1195
30,NA,0,1195
31,NA,0,1195
32,NA,0,1195
33,NA,0,1195
74,NA,0,1195
28,44,0,0441
68,NA,0,0441
69,NA,0,0441
36,0,1e-04
43,0,1e-04
203,0,1e-04
210,0,1e-04
80,0,1e-04
